Source,Target,Type,Id,Label,Weight
89,67,Undirected,728,,2
89,64,Undirected,729,,1
8,64,Undirected,730,,3
85,73,Undirected,731,,6
89,73,Undirected,732,,1
17,63,Undirected,733,,1
17,64,Undirected,734,,1
90,91,Undirected,735,,3
92,90,Undirected,736,,1
92,91,Undirected,737,,2
93,92,Undirected,738,,1
93,90,Undirected,739,,1
93,91,Undirected,740,,1
93,94,Undirected,741,,3
97,92,Undirected,742,,5
96,95,Undirected,743,,2
94,91,Undirected,744,,11
97,98,Undirected,745,,1
92,98,Undirected,746,,2
93,97,Undirected,747,,1
94,96,Undirected,748,,29
70,96,Undirected,749,,17
94,70,Undirected,750,,23
99,70,Undirected,751,,2
99,96,Undirected,752,,1
99,94,Undirected,753,,1
97,100,Undirected,754,,3
92,100,Undirected,755,,2
70,101,Undirected,756,,4
94,101,Undirected,757,,2
101,96,Undirected,758,,2
102,96,Undirected,759,,1
70,91,Undirected,760,,2
67,91,Undirected,761,,3
94,67,Undirected,762,,3
92,96,Undirected,763,,4
91,103,Undirected,764,,2
89,91,Undirected,765,,1
21,91,Undirected,766,,2
104,91,Undirected,767,,1
70,103,Undirected,768,,1
89,103,Undirected,769,,1
94,103,Undirected,770,,1
67,103,Undirected,771,,1
21,103,Undirected,772,,1
104,103,Undirected,773,,1
104,70,Undirected,774,,1
89,94,Undirected,775,,1
89,104,Undirected,776,,1
21,94,Undirected,777,,1
104,94,Undirected,778,,1
104,67,Undirected,779,,2
104,21,Undirected,780,,2
93,70,Undirected,781,,2
106,97,Undirected,782,,1
107,91,Undirected,783,,3
108,103,Undirected,784,,1
70,92,Undirected,785,,3
94,92,Undirected,786,,2
108,109,Undirected,787,,2
109,105,Undirected,788,,1
109,91,Undirected,789,,2
107,109,Undirected,790,,2
108,105,Undirected,791,,1
108,91,Undirected,792,,2
107,108,Undirected,793,,2
91,105,Undirected,794,,1
107,105,Undirected,795,,1
